City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Eyl,SO,77.07,overcast clouds,7.9803,49.8164,Amiin Hotel
544,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
547,Bandarbeyla,SO,78.48,overcast clouds,9.4942,50.8122,JABIR HOTEL
549,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
550,Balabac,PH,78.46,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
551,Tautira,PF,80.85,overcast clouds,-17.7333,-149.15,Pension Oaoa
552,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
555,Sumbe,AO,79.81,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
562,Itarema,BR,85.46,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
563,Aloleng,PH,78.12,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
564,Ovalle,CL,84.49,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
565,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
567,Itaituba,BR,81.05,overcast clouds,-4.2761,-55.9836,Hotel Campos
568,Tarata,BO,78.22,scattered clouds,-17.6167,-66.0167,Hacienda castillo
571,Kavaratti,IN,82.62,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
584,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
585,Nizwa,OM,82.06,clear sky,22.9333,57.5333,Orient Apartments
587,Morondava,MG,84.27,overcast clouds,-20.2833,44.2833,La Case Bambou
589,Mersing,MY,78.1,overcast clouds,2.4312,103.8405,Timotel Hotel
590,Pathein,MM,76.77,broken clouds,16.7833,94.7333,Pathein Hotel
593,Grenville,GD,84.25,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
603,Banyo,CM,88.5,broken clouds,6.75,11.8167,Motel JOMBA
609,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
610,Rio Grande,BR,79.95,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
611,Gwadar,PK,75.6,clear sky,25.1216,62.3254,Sadaf Resort
612,Sao Miguel,BR,88.57,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
617,Imbituba,BR,87.91,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
618,Mogadishu,SO,78.71,broken clouds,2.0371,45.3438,Hotel Juba
620,Mumford,GH,83.46,broken clouds,5.2618,-0.759,Spanish Villa
622,Dwarka,IN,76.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
624,Uvira,CD,76.82,light rain,-3.4067,29.1458,Hotel Suzana
628,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Novotel Dakar
640,Zeerust,ZA,75.02,overcast clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
649,Sinnamary,GF,80.47,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
650,Asosa,ET,82.47,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
651,Kupang,ID,77.86,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
653,Hervey Bay,AU,75.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
656,Pundaguitan,PH,81.16,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
659,Iracoubo,GF,80.53,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
671,Ubaitaba,BR,89.91,scattered clouds,-14.3125,-39.3233,Pousada Paraíso
681,Salalah,OM,75.07,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
682,Nortelandia,BR,82.42,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
685,Angoche,MZ,79.05,light rain,-16.2325,39.9086,Guest House HESADA
