City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Ilulissat,GL,2022-03-03 22:52:00,69.2167,-51.1,2.97,79,100,8.34
254,Cicuco,CO,2022-03-03 22:52:01,9.2631,-74.6569,90.03,48,97,3.47
255,Graham,US,2022-03-03 22:52:01,47.0529,-122.2943,49.05,82,75,11.5
256,Chekhov,RU,2022-03-03 22:52:01,55.1431,37.4711,31.95,87,100,3.94
257,Ivanovo,RU,2022-03-03 22:47:50,56.9942,40.9858,25.5,97,100,3.42
258,Tezu,IN,2022-03-03 22:52:02,27.9167,96.1667,61.83,33,25,4.7
259,Saint-Francois,FR,2022-03-03 22:52:03,46.4154,3.9054,35.04,100,100,1.14
260,Kitui,KE,2022-03-03 22:52:03,-1.367,38.0106,66.33,56,5,3.91
261,Shakhtinsk,KZ,2022-03-03 22:52:03,49.71,72.5872,10.96,94,92,5.79
262,Moron,AR,2022-03-03 22:52:04,-34.6534,-58.6198,76.89,78,34,8.05
263,Autazes,BR,2022-03-03 22:52:04,-3.5797,-59.1306,75.96,95,100,1.03
264,Harda,IN,2022-03-03 22:52:05,22.3333,77.1,73.29,27,49,4.36
265,Uporovo,RU,2022-03-03 22:52:05,56.3109,66.2693,15.26,96,100,6.44
266,Kralendijk,BQ,2022-03-03 22:52:06,12.15,-68.2667,80.58,74,75,13.8
267,Sioux Lookout,CA,2022-03-03 22:52:06,50.1001,-91.917,16.18,41,20,10.36
268,Guerrero Negro,MX,2022-03-03 22:52:07,27.9769,-114.0611,70.81,38,55,14.92
269,Lincoln,US,2022-03-03 22:50:24,40.8,-96.667,52.02,40,0,16.11
270,Qujing,CN,2022-03-03 22:52:07,25.4833,103.7833,42.19,49,35,3.76
271,Vila Velha,BR,2022-03-03 22:52:08,-20.3297,-40.2925,82.35,87,20,11.5
272,Bhuj,IN,2022-03-03 22:52:08,23.2667,69.6667,69.04,44,0,6.91
273,Aguimes,ES,2022-03-03 22:52:09,27.9054,-15.4461,61.66,72,75,20.71
274,Morshansk,RU,2022-03-03 22:52:09,53.4435,41.8107,30.69,98,100,7.38
275,Kapit,MY,2022-03-03 22:53:10,2.0167,112.9333,73.22,100,78,0.6
276,Gopalpur,IN,2022-03-03 22:53:10,19.2667,84.9167,72.3,73,80,4.23
277,Paamiut,GL,2022-03-03 22:53:11,61.994,-49.6678,9.73,73,67,11.43
278,Kavaratti,IN,2022-03-03 22:53:11,10.5669,72.642,81.79,66,24,11.27
279,Setermoen,NO,2022-03-03 22:53:12,68.861,18.3486,26.56,98,99,3.18
280,Ales,FR,2022-03-03 22:51:48,44.1333,4.0833,46.44,74,43,2.3
281,Mahanoro,MG,2022-03-03 22:53:12,-19.9,48.8,75.22,89,80,4.16
282,Najran,SA,2022-03-03 22:53:13,17.4924,44.1277,63.25,24,0,2.33
283,Te Anau,NZ,2022-03-03 22:53:13,-45.4167,167.7167,65.03,58,100,1.41
284,Merauke,ID,2022-03-03 22:53:14,-8.4667,140.3333,80.4,83,79,7.4
285,Babu,CN,2022-03-03 22:53:14,24.4167,111.5167,68.43,88,98,3.49
286,Mahibadhoo,MV,2022-03-03 22:53:15,3.7833,72.9667,82.2,68,61,13.67
287,Udachnyy,RU,2022-03-03 22:53:15,66.4167,112.4,-22.68,100,100,1.59
288,Freeport,US,2022-03-03 22:52:00,40.6576,-73.5832,39.18,32,11,10.0
289,Namatanai,PG,2022-03-03 22:53:16,-3.6667,152.4333,81.14,82,98,4.47
290,Newport,GB,2022-03-03 22:48:57,51.5877,-2.9984,44.85,89,100,3.0
291,Primorsko-Akhtarsk,RU,2022-03-03 22:53:17,46.0497,38.1747,37.94,90,100,17.16
292,Luderitz,NA,2022-03-03 22:53:17,-26.6481,15.1594,65.43,82,1,8.25
293,College,US,2022-03-03 22:49:05,64.8569,-147.8028,33.8,69,75,0.0
